index	#1 Label	#2 ImageID	#3 String
12050	neutral	12050.jpg	Bottled Caesars? Tempting but seems a little sketchy	
13007	neutral	13007.jpg	Hey how well do you know your city? Could you guess where this is located?	
13171	neutral	13171.jpg	See a virtual tour of my listing on 12867 Ray Dr.	
13524	neutral	13524.jpg	It breaks my heart	
13967	neutral	13967.jpg	????????Buy The Ebook Get A Locket ????????	
14295	neutral	14295.jpg	BCity's story: 2016 book	
14879	neutral	14879.jpg	Bogie's hair is so black and Greenstreet's is so white!	
15172	neutral	15172.jpg	If you're a professional in MI, check out this	
16927	neutral	16927.jpg	The bring their Tour to the Sept 3rd & 4th.	
17602	neutral	17602.jpg	Final Homes Released for Sale!	
17853	neutral	17853.jpg	Interested in a near AB? This could be a great fit:	
17979	neutral	17979.jpg	The sky last night in it rained later on.	
18352	neutral	18352.jpg	afterparties 514-216-7973 ??	
18434	neutral	18434.jpg	Tyco National Accounts Sales Manager - Montreal QC)	
19161	neutral	19161.jpg	For the month of September we are offering 15% off filler and Botox	
19707	neutral	19707.jpg	& have teamed up again on 4 colourways of Old Skool Pro shoes. Available Sat Aug 29	
20407	neutral	20407.jpg	Battle at The Bone is 4 days away! Get your tickets:	
20529	neutral	20529.jpg	Check, check can you hear us!? Coming to you live at 7 from with tune in, turn up	
21165	neutral	21165.jpg	The and Jaymee curry sleepover jam begins!	
21349	neutral	21349.jpg	BTW: here's something to support *your* point (thereby demonstrating how even-handed I am).	
21468	neutral	21468.jpg	V HAS COME TO.	
21919	neutral	21919.jpg	beach theme tomorrow!????	
22687	neutral	22687.jpg	Fresh Food Box orders picked up 4:30-7:30pm today. 100% Ontario grown this month!	
3027	positive	3027.jpg	announces that a gov't will invest an additional $20 billion in public transit!	
4448	positive	4448.jpg	We're Read about our latest opening here: Retail Sales Consultant... -	
4507	positive	4507.jpg	AB Registered Nurse at AHS	
4543	positive	4543.jpg	See our latest AB and click to apply: Clerk III -	
4839	positive	4839.jpg	Amazing screening of About Ray at - Q&A w/ the director!	
5517	positive	5517.jpg	Two games in a row with my Danny Boy?	
5820	positive	5820.jpg	This place seems a little brighter than usual right now!	
6695	positive	6695.jpg	Read our review on and get her EP this Friday	
6727	positive	6727.jpg	I think Harold dressed Niall	
6869	positive	6869.jpg	Open stage goodness!	
7210	positive	7210.jpg	- Complete Symphonies	
7313	positive	7313.jpg	& serve 90s R&B realness!	
9589	positive	9589.jpg	Luke from last night	
9874	positive	9874.jpg	A little technical help	
10568	positive	10568.jpg	Our logo has changed a little, but it's the final one!	
10619	positive	10619.jpg	Today is our second Canadian anniversary! We left Italy and landed in Vancouver exactly 2 years ago! ????	
10990	positive	10990.jpg	Good morning, St. John's, NL.	
11652	positive	11652.jpg	Stop and take a second look!, you might like what you see! Call today at 780 406 0000!	
11928	positive	11928.jpg	You're tough. Keep going to the end.	
12522	positive	12522.jpg	Good morning, What will you do with this cloudy, warm day?	
13400	positive	13400.jpg	deep fried Frosted Flake chicken on a stick	
14798	positive	14798.jpg	Happy birthday taja! Ilysm and wish you the greatest day possible????	
14964	positive	14964.jpg	Last Cast 2012 Oil 14 x 11 in	
15100	positive	15100.jpg	Interested in a near MI? This could be a great fit:	
15437	positive	15437.jpg	TED At Concert at today along with my wife.	
15674	positive	15674.jpg	He was so nice!	
16309	positive	16309.jpg	This, from All kinds of goodness.	
16331	positive	16331.jpg	continues to fill the air with awesome music, today until Sunday.	
16518	positive	16518.jpg	In to lauch an awareness campaign with to create a culture and	
16695	positive	16695.jpg	Jane Jacobs, parks and the downtown living trend	
16762	positive	16762.jpg	returns to Aug 28th- 30th. An excellent festival feat. the Taiwanese culture.	
17458	positive	17458.jpg	Wow, came in from the Valley to hike the park and I'm shocked how friendly everyone is!	
17656	positive	17656.jpg	Learning ASL with this Smartie, so finally checked out Deafined.	
17965	positive	17965.jpg	In my brand new and so lovely dress at	
18115	positive	18115.jpg	Off to see the (@ Glam Salon Boutique in Montreal, QC)	
18545	positive	18545.jpg	11:24 This is how we live/love in at the Premier's lunch.	
19549	positive	19549.jpg	My home. My rehab. My comeback plan.	
19907	positive	19907.jpg	ALL the rainbows! Let's do this ! Find me at the show for gear!!	
20322	positive	20322.jpg	beer run starting	
20410	positive	20410.jpg	Fans chilling in the end zone	
20481	positive	20481.jpg	My breakfast is probably more Canadian than yours	
22098	positive	22098.jpg	Climbing A tree! noiceeee mannn	
22858	positive	22858.jpg	Starting September 8th up until October 30th, we'd like to offer you a 15% discount on all in stock goods.	
